Species,Tree #,Height (m),D1.10,Crown width (m),Ave Leaf Height (m),Lowest leaf height (m),Crown length
Pentaclethra macroloba,,5.5,3.55,2.7,4.8,3.1,2.4
Pentaclethra macroloba,,17.1,14.7,6.33,14.3,10.3,6.8
Pentaclethra macroloba,,16.3,14.9,6.36,13.2,6.1,10.2
Pentaclethra macroloba,,17.3,19.2,8.13,13.3,8.3,9
Pentaclethra macroloba,,2.17,1.425,1.52,,1.5,0.67
Pentaclethra macroloba,,1.88,1.115,0.66,1.7,,
Pentaclethra macroloba,,3.4,2,1.73,2.75,2.06,1.34
Pentaclethra macroloba,,17.4,21.2,9.4,13.9,7,10.4
Pentaclethra macroloba,,3.73,2.475,1.87,3.3,,
Pentaclethra macroloba,,1.42,1.65,0.53,,,
Pentaclethra macroloba,,2.94,2.16,1.03,,,
Pentaclethra macroloba,,4.15,2.23,1.45,,,
Pentaclethra macroloba,,1.29,0.91,0.62,,,
Pentaclethra macroloba,,1.47,1.1,0.35,,,
Pentaclethra macroloba,,1.35,1.93,0.46,,,
Pentaclethra macroloba,,2.82,2.305,0.68,,,
Pentaclethra macroloba,,9.1,6.49,4.19,7.9,6.6,2.5
Pentaclethra macroloba,,7.5,5.58,2.7,6.8,5.9,1.6
Pentaclethra macroloba,,10.85,8.62,5.32,9.1,7.6,3.25
Pentaclethra macroloba,,18.5,20.4,7.22,15.54,10.6,7.9
Pentaclethra macroloba,,4.65,2.845,1.95,4,2.95,1.7
Pentaclethra macroloba,,10.8,10.2,4.1,8.7,6,4.8
Pentaclethra macroloba,,14.7,16.5,6.62,12.5,10.2,4.5
Pentaclethra macroloba,,16.6,14.7,6.47,12.6,8,8.6
Pentaclethra macroloba,,10,8.17,5,8,5.5,4.5
Pentaclethra macroloba,,6.1,5.095,3.42,5.4,3.56,2.54
Pentaclethra macroloba,,8,2.48,4.96,6.7,4.6,3.4
Pentaclethra macroloba,,10.3,2.415,4.94,7.8,5,5.3
Pentaclethra macroloba,,28.7,71.9,18.6,24.5,17.4,
Pentaclethra macroloba,,26,40.6,14.1,20.5,12,
Pentaclethra macroloba,,31.7,89.7,20.25,25,13.1,
Pentaclethra macroloba,,26.2,37.2,9.25,22,17.7,
Pentaclethra macroloba,,28.6,59.4,14.5,19,5.8,
Pentaclethra macroloba,,29,50.9,15,25,13.1,
Pentaclethra macroloba,,27,40.8,9.75,22.5,16,
Pentaclethra macroloba,,27,48.3,14.75,22,15.3,
Pentaclethra macroloba,,17.5,21.4,9.4,13.8,8.2,
Pentaclethra macroloba,,29,66.9,14.75,26,21.3,
Pentaclethra macroloba,,26.5,57.3,14.05,22,15.8,
Pentaclethra macroloba,,26,34,8.8,20,11.5,
Pentaclethra macroloba,,27.4,47.2,11.2,,10.3,
Pentaclethra macroloba,,31,97.8,16.85,27,18,
Pentaclethra macroloba,,22.5,26.5,8.4,19.6,10.1,
Pouroma bicolor,1,27.5,44.6,12,24.6,19.6,
Pouroma bicolor,2,27,34.4,13.55,25,20.2,
Pouroma bicolor,3,26.5,44.1,12.2,23.5,15.8,
Pouroma bicolor,4,26.4,32.4,12.75,24,16,
Pouroma bicolor,5,7.5,5.52,3.15,6.15,5.1,
Pouroma bicolor,6,14.5,11.2,3.75,14.1,13.6,
Pouroma bicolor,7,5.2,3.7,1.9,4.8,4.4,
Pouroma bicolor,8,2.6,1.62,0.96,2.3,1.95,
Pouroma bicolor,9,16.1,9.94,3.86,13,4.9,
Pouroma bicolor,10,3.15,2.26,1.39,2.8,2.5,
Pouroma bicolor,11,9.3,2.5,1.49,3.94,3.42,
Pouroma bicolor,12,4.55,2.15,0.62,4.3,4.08,
Pouroma bicolor,13,11.4,11.2,5.8,10,7.2,
Pouroma bicolor,14,20.5,21,8.3,17.2,13.1,
Pouroma bicolor,15,21,23.6,7.6,18.6,14.2,
Pouroma bicolor,16,7.5,4.64,2.45,6.7,5.7,
Pouroma bicolor,17,10,7.44,3.78,7.7,5.5,
Pouroma bicolor,18,4.55,2.32,1.21,4.03,3.6,
Pouroma bicolor,19,7.1,4.14,2.35,6.25,5.5,
Pouroma bicolor,20,7.55,4.5,1.62,7.02,6.5,
Pouroma bicolor,21,9.8,6.07,3.1,8.3,6,
Pouroma bicolor,22,3.47,1.96,1.26,3,2.63,
Pouroma bicolor,23,2.68,1.48,0.92,2.31,1.96,
Pouroma bicolor,24,1.4,1.23,0.7,,,
Pouroma bicolor,25,7.8,4.77,3.18,7.3,6.7,
Pouroma bicolor,26,3.6,2.29,1.18,3.28,2.9,
Pouroma bicolor,27,13.3,9.14,3.55,11.8,8.4,
Pouroma bicolor,28,9.7,6.87,2.85,9.3,8.8,
Pouroma bicolor,29,23,26.5,11.3,19.4,14.2,
Pouroma bicolor,30,8.7,4.9,2.42,8.5,8.3,
Pouroma bicolor,31,9.6,4.34,1.28,9.14,8.65,
