spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,sitequal,socialclass,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
Reid-PICO,Reid,PICO,NA,10.7,72.97,NA,8.6,7.3,1.45,3.595663,22.44800376,NA,NA,26.55871831,poor,O,18.35997702,8.036324908,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.651299639,0.008992024,0.007297,NA
Reid-PICO,Reid,PICO,NA,8.6,45.8,NA,5.5,4.5,1.329207903,1.148776,6.902201385,NA,NA,15.27427771,poor,O,10.88517059,4.162909462,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.387636487,0.005808805,0.00458,NA
Reid-PICO,Reid,PICO,NA,7.9,21.85995628,NA,6.3,5.5,1.35,1.117839,7.39997116,NA,NA,18.77776844,poor,O,13.18205779,5.248423227,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.431388153,0.00490167,0.002185996,NA
Reid-PICO,Reid,PICO,NA,8.1,39.69368405,NA,6.3,5.5,1.35,1.719369,10.63822392,NA,NA,18.77776844,poor,O,13.18205779,5.248423227,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.431388153,0.005152997,0.003969368,NA
Reid-PICO,Reid,PICO,NA,10.3,50.76,NA,9.3,8.1,1.7,3.145144,21.52970416,NA,NA,34.61188082,poor,O,24.01843452,12.25692374,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.269800692,0.008332289,0.005076,NA
Reid-PICO,Reid,PICO,NA,8.6,53.82274906,NA,7.8,6.5,1.5,1.680534,10.13461644,NA,NA,24.59343236,poor,O,17.18402368,7.657632093,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.767145868,0.005808805,0.005382275,NA
Reid-PICO,Reid,PICO,NA,10.9,57.13149864,NA,9,7.7,1.7,2.542177,15.64981372,NA,NA,32.96192245,poor,O,22.95642646,11.65164355,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.269800692,0.009331316,0.00571315,NA
Reid-PICO,Reid,PICO,NA,5.2,14.37932608,NA,4.1,2.8,0.98,0.648301,4.60881332,NA,NA,7.091004363,poor,O,5.130064725,1.408019939,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.754296396,0.002123717,0.001437933,NA
Reid-PICO,Reid,PICO,NA,8.5,43.42120348,NA,7.7,4.7,1.5,2.120157,12.2255198,NA,NA,18.09363755,poor,O,12.98136932,5.537057052,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.767145868,0.005674502,0.00434212,NA
Reid-PICO,Reid,PICO,NA,6.1,9.1322398,NA,6.5,5.2,0.8,0.625374,4.06684404,NA,NA,10.37189091,poor,O,7.056471907,1.742536725,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.502654825,0.002922467,0.000913224,NA
Reid-PICO,Reid,PICO,NA,7.6,35.98896028,NA,6,4.7,1.24,1.285807,7.77751216,NA,NA,14.78950729,poor,O,10.44153775,3.783901744,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.207628216,0.00453646,0.003598896,NA
Reid-PICO,Reid,PICO,NA,7.2,28.71671676,NA,6.9,4.6,1.35,0.971765,6.74653908,NA,NA,15.85174595,poor,O,11.29049434,4.389590335,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.431388153,0.004071504,0.002871672,NA
Reid-PICO,Reid,PICO,NA,6.2,19.59479952,NA,7.3,6,1.45,0.692557,4.70677456,NA,NA,21.98719119,poor,O,15.41663217,6.605198554,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.651299639,0.003019071,0.00195948,NA
Reid-PICO,Reid,PICO,NA,11.9,93.403039,NA,6.5,5.5,1.784410702,3.672488,21.02406944,NA,NA,25.21704798,poor,O,18.11852693,9.16961181,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.500803221,0.011122023,0.009340304,NA
Reid-PICO,Reid,PICO,NA,9.7,61.92,NA,7.2,5.3,1.6,2.60801,15.5573914,NA,NA,21.68390501,poor,O,15.48186238,7.104188187,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.010619298,0.007389811,0.006192,NA
Reid-PICO,Reid,PICO,NA,3.2,3.83,NA,4.8,1.7,0.6,0.03922,0.32010096,NA,NA,2.637650499,poor,S,1.909712269,0.320442451,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.282743339,0.000804248,0.000383,NA
Reid-PICO,Reid,PICO,NA,1.9,1.56,NA,3,0.65,0.15,0.00782,0.06942648,NA,NA,0.245934324,poor,S,0.171840237,0.007657632,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.017671459,0.000283529,0.000156,NA
