Species,CO2,Temp,Water,Potnum,LeafDW,StemDW,RootDW,RootShoot,LMA,LA,Leafnum,LAR,Basaldia1,Basaldia2,Tipdia1,Tipdia2,Height,Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,,,
Sideroxylon,400,Elv,dry,322,7.75,5.96,8.21,0.60,75.03,1036,231,4.7,7.41,8.69,0.88,0.93,95,31,2,31,0,0,,,
Sideroxylon,400,Elv,dry,325,7.47,5.99,7.30,0.54,92.58,807,395,3.9,6.29,6.59,1.01,0.65,93,25,1,25,0,0,,,
Sideroxylon,400,Elv,dry,341,9.02,8.31,7.91,0.46,88.86,1015,565,4.0,6.26,8.28,0.77,0.68,100,38,1,32,6,0,,,
Sideroxylon,400,Elv,dry ,342,12.37,12.65,10.12,0.40,82.43,1500,410,4.3,8.57,8.76,0.56,0.55,103,26,1,26,0,0,,,
Sideroxylon,400,Elv,dry,344,4.28,3.07,3.14,0.43,84.18,508,137,4.8,5.21,5,0.86,1.02,66,10,2,10,0,0,,,
Sideroxylon,400,Elv,dry,347,9.50,2.79,3.40,0.28,188.34,504,366,3.2,4.61,4.24,0.78,0.87,78,29,2,29,0,0,,,
Sideroxylon,400,Elv,dry,349,8.03,10.04,7.72,0.43,81.73,983,310,3.8,7.02,6.95,0.86,0.74,117,33,1,33,0,0,,,
Sideroxylon,400,Elv,dry,351,6.86,6.47,9.29,0.70,79.03,868,408,3.8,6.72,6.93,0.88,0.73,103,27,1,27,0,0,,,
Sideroxylon,640,Elv,dry ,518,19.32,16.94,14.12,0.39,97.92,1973,534,3.9,8.47,8.66,0.84,1.02,106,66,1,35,30,1,,,
Sideroxylon,640,Elv,dry ,527,18.50,19.63,18.11,0.47,86.49,2139,435,3.8,8.32,7.45,1.06,0.86,142,40,1,35,5,0,,,
Sideroxylon,640,Elv,dry ,537,14.45,13.31,14.61,0.52,95.24,1516,478,3.6,6.63,7.52,0.84,1.01,115,38,1,37,1,0,,,
Sideroxylon,640,Elv,dry ,552,7.33,8.04,6.60,0.43,85.28,860,343,3.9,6.27,5.63,0.78,0.83,105,32,1,32,0,0,,,
Sideroxylon,640,Elv,dry ,553,20.02,15.87,13.81,0.38,91.25,2194,460,4.4,7.32,7.35,0.66,0.8,121,43,1,41,2,0,,,
Sideroxylon,640,Elv,dry ,560,7.69,4.75,6.54,0.52,111.77,688,390,3.6,4.81,4.23,0.81,1.03,106,42,1,42,0,0,,,
Sideroxylon,640,Elv,dry ,565,13.47,13.38,10.96,0.41,115.43,1171,500,3.1,7.23,7.16,0.46,0.35,122,44,1,44,0,0,,,
Sideroxylon,640,Elv,dry ,566,19.30,18.04,14.77,0.39,100.79,1918,688,3.7,9.32,9.03,0.76,0.52,127,57,1,54,3,0,,,
Sideroxylon,640,Elv,dry ,568,13.53,10.75,15.51,0.64,93.29,1450,506,3.6,6.7,6.01,0.87,0.89,85,49,1,33,16,0,,,
Sideroxylon,280,Amb,wet,106,8.50,7.72,5.09,0.31,70.15,1212,368,5.7,6.4,6.29,0.46,0.51,90,34,1,34,0,0,,,
Sideroxylon,280,Amb,wet,105,4.21,4.93,5.20,0.57,48.35,871,183,6.1,5.31,5.79,0.77,0.85,97,16,1,16,0,0,,,
Sideroxylon,280,Amb,wet,108,3.41,3.40,4.85,0.71,45.29,753,238,6.4,4.47,4.93,1.06,1.09,78,18,1,18,0,0,,,
Sideroxylon,280,Amb,wet,117,6.52,6.41,6.11,0.47,75.57,855,376,4.5,6.11,4.62,0.75,0.84,84,55,4,52,3,0,,,
Sideroxylon,280,Amb,wet,120,3.66,2.88,4.27,0.65,50.87,709,196,6.5,3.67,4.07,0.63,0.54,65,14,2,14,0,0,,,
Sideroxylon,280,Amb,wet,121,3.99,3.77,3.36,0.42,64.23,621,231,5.5,3.63,4.66,0.75,0.74,67,15,4,15,0,0,,,
Sideroxylon,280,Amb,wet,122,6.97,4.47,7.76,0.68,82.46,840,208,4.4,5.88,4.3,0.69,0.53,67,14,1,12,2,0,,,
Sideroxylon,280,Amb,wet,125,6.45,5.10,6.92,0.59,71.78,898,402,4.8,5.19,4.86,0.65,0.74,61,35,2,35,0,0,,,
Sideroxylon,280,Amb,wet,175,1.95,1.90,2.23,0.58,89.53,218,159,3.6,4.17,3.67,0.54,0.48,46,14,1,10,4,0,,,
Sideroxylon,400,Amb,wet,2,5.32,4.79,6.71,0.65,71.79,741,231,4.3,4.43,4.48,0.69,0.59,64,21,3,21,0,0,,,
Sideroxylon,400,Amb,wet,4,7.76,5.51,12.89,0.95,76.24,1022,294,3.9,6.61,6.3,0.55,0.71,57,27,2,27,0,0,,,
