"Species_name","Family","site","age","height","leaf_weight","stem_weight","total_weight","dia","stem.area","lma","leaf_area"
"Pultenaea tuberculata","Fabaceae","Waratah2003",9,535,976.4,4929.1,5905.5,7.07666666666667,39.3321204310597,0.127666666666667,7648.04177545692
"Pultenaea tuberculata","Fabaceae","Waratah2003",9,620,1356.5,3843.4,5199.9,3.47,9.45690074565233,0.127666666666667,10625.3263707572
"Pultenaea tuberculata","Fabaceae","Waratah2003",9,855,7147,20002.2,27149.2,7.44,43.474615777437,0.127666666666667,55981.7232375979
"Pultenaea tuberculata","Fabaceae","Waratah2003",9,585,358.6,1554.2,1912.8,3.74333333333333,11.0054266711918,0.127666666666667,2808.8772845953
"Pultenaea tuberculata","Fabaceae","Waratah2003",9,845,2956.7,8902.4,11859.1,6.07333333333333,28.9697079628877,0.127666666666667,23159.5300261097
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,340,1906.5,1530.3,3436.8,4.24,14.119574022294,0.098,19454.0816326531
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,290,1123.3,732.5,1855.8,3.30333333333333,8.57027348563922,0.098,11462.2448979592
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,140,158,90.8,248.8,1.40666666666667,1.55407607256079,0.098,1612.24489795918
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,295,2269.6,1777.4,4047,3.90666666666667,11.9867816763569,0.098,23159.1836734694
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,262,2365.5,1498,3863.5,3.7,10.7521008569111,0.098,24137.7551020408
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,295,2049.3,1355.1,3404.4,3.06666666666667,7.38623339444,0.098,20911.2244897959
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,220,1766.5,1456.1,3222.6,3.80333333333333,11.3610549595781,0.098,18025.5102040816
"Pultenaea tuberculata","Fabaceae","Waratah2011",1.3,218,337,182.2,519.2,1.48333333333333,1.72809412563089,0.098,3438.77551020408
