Spp Abbrev,species,site,latitude,longitude,map,class,DBH,AGB,Ht,source,CD,BD,crown height,height below branch,volume,biomass wood,biomass bark,biomass branch,biomass leaf,leaf area,Sample,Soil
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,17.3,165.0766188,9.6,W,,,,,,36.25805164,,110.9633015,8.976047496,,ET9,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,41.2,701.09,11.1,W,,,,,,232.4289066,,414.3911557,26.83732602,,ET10,Red loam
Etect,Eucalyptus tectifica,Manbulloo,-14,132,930,16,25.5,271.0254403,12.1,W,,,,,,79.62575575,,176.7072037,9.098907136,,ET11,Red loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,16.6,91.94651877,7,W,,,,,,23.46293573,,50.38593361,12.1186833,,ETR1,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,17.5,140.7364698,7.3,W,,,,,,39.89371475,,69.31169385,18.66003747,,ETR2,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,20.4,236.6993725,8.9,W,,,,,,56.55371062,,133.2284976,33.33535769,,ETR3,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,4.9,3.187640345,3.75,W,,,,,,1.584373554,,0.409751781,0.802500689,,ETR4,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,4,3.396484693,3.26,W,,,,,,0.821985486,,1.072154982,1.212453923,,ETR5,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,24.8,241.3063363,10.4,W,,,,,,89.65357623,,136.435911,11.4845326,,ETR6,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,7.3,11.25128236,4.35,W,,,,,,2.998590686,,3.849573533,3.110076046,,ETR7,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,5.8,6.724257532,3.92,W,,,,,,1.329085692,,1.572800176,2.233581662,,ETR8,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,31.6,776.4520452,10.6,W,,,,,,130.0079549,,557.0755895,56.65784734,,ETR9,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,11.2,44.51340151,6.2,W,,,,,,15.59709623,,20.5299434,6.596654275,,ETR10,Red Loam
Eterm,Eucalyptus terminalis,KidmanSprings,-16,131,650,17,50,1574.660166,13.4,W,,,,,,210.552439,,1292.997435,38.7508355,,ETR11,Red Loam
