Tree_no,Family,Genera,species,growth_form,dbh_95,Dbh_2004,tree_ht,Fork_ht,crown_depth,cr_width,crown_sil_area,rel_cr_width
790,Lauraceae,Litsea,Litsea_ferrugi,canopy,11.3,11.4,16.47,9.367,7.103,5.865,32.73214607,0.356102004
698,Lauraceae,Litsea,Litsea_ferrugi,canopy,12.8,13,17.5,12.376,5.124,#NULL!,#NULL!,#NULL!
842,Lauraceae,Litsea,Litsea_ferrugi,canopy,12,14.2,17.54,13.158,4.382,4.81,16.56083,0.274230331
577,Lauraceae,Litsea,Litsea_ferrugi,canopy,25.8,27,18.95,11.016,7.934,#NULL!,#NULL!,#NULL!
457,Lauraceae,Litsea,Litsea_ferrugi,canopy,8.2,11.7,19.44,13.72,5.72,4.435,19.93215714,0.22813786
398,Lauraceae,Litsea,Litsea_ferrugi,canopy,20.1,21.7,22.06,16.899,5.161,5.81,23.559965,0.26337262
509,Sapotaceae,Payena,Payena_unknown,canopy,5.1,7.5,9.45,4.979,4.471,3.625,12.73436607,0.383597884
329,Sapotaceae,Payena,Payena_unknown,canopy,9.6,10.2,10.44,6.78,3.66,#NULL!,#NULL!,#NULL!
140,Sapotaceae,Payena,Payena_unknown,canopy,6.5,8.1,12.71,7.238,5.472,4.125,17.73514286,0.3245476
331,Sapotaceae,Payena,Payena_unknown,canopy,22,23.6,15.43,8.806,6.624,6.52,33.93380571,0.422553467
603,Sapotaceae,Payena,Payena_unknown,canopy,9,12.5,15.75,12.875,2.875,5.095,11.50924107,0.323492063
659,Sapotaceae,Payena,Payena_unknown,canopy,7.2,12,15.8,8.21,7.59,4.33,25.82226429,0.274050633
879,Sapotaceae,Payena,Payena_unknown,canopy,16.8,22.3,16.06,14.1,1.96,6.335,9.7559,0.394458281
916,Sapotaceae,Payena,Payena_unknown,canopy,10.5,15.6,19.98,12.7155,7.2645,3.91,22.31758179,0.195695696
341,Sapotaceae,Payena,Payena_unknown,canopy,28.4,30.6,25.74,13.86,11.88,10.425,97.30992857,0.405011655
311,Sapotaceae,Payena,Payena_unknown,canopy,97.2,99,37.64,32.08,5.56,20.22,88.33251429,0.537194474
414,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,5.6,7.5,9.61,6.4056,3.2044,3.695,9.303059857,0.384495317
