Site,longitude,latitude,BurnYear,HarvestYear,Edaphic,Species,Number,Height,D0,D10,DBH,DWT,TotWood,TotBranch,TotFol,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,Sapwood,Root
W1981,-98.48128,55.86351,1981,1999,Wet,JP,3,102,0.8,0.76,,39.16,20.14,3.34,19.02,14.02,5,1.84,1.5,0,16.8,,
W1981,-98.48128,55.86351,1981,1999,Wet,JP,4,121,1.59,1.48,,149.5,91.1,24,58.4,41.2,17.2,19.3,4.7,6.3,60.8,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,1,18.5,0.29,0.25,,1.87,0.67,0.23,1.2,0.48,0.72,0,0.23,0,0.44,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,2,22.5,0.41,0.2,,3.71,1.26,0.74,2.45,1.2,1.25,0.27,0.47,0,0.52,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,3,15.8,0.24,0.13,,1.33,0.43,0.21,0.9,0.21,0.69,0.03,0.18,0,0.22,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,4,7.5,0.17,,,0.38,0.1,0.04,0.28,0.09,0.19,0,0.04,0,0.06,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,5,9,0.34,,,1.87,0.87,0.65,1,0.65,0.35,0.53,0.12,0,0.22,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,6,6,0.17,,,0.39,0.09,0.02,0.3,0.22,0.08,0,0.02,0,0.07,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,7,8.8,0.18,,,0.58,0.13,0.02,0.45,0,0.45,0,0.02,0,0.11,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,8,21.4,0.3,0.23,,2.52,0.94,0.38,1.58,0.7,0.88,0.08,0.3,0,0.56,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,9,17.7,0.33,0.19,,2.74,0.75,0.52,1.99,0.45,1.54,0.08,0.44,0,0.23,,
W1995,-99.97617,56.46217,1995,1999,Wet,JP,10,10.7,0.24,0.11,,1.44,0.33,0.18,1.11,0.32,0.79,0.02,0.16,0,0.15,,
